Id,Member,State,District,Party
72732,"Garcia, Jesus ""Chuy""",Ill.,4,D
31136,"Gibbs, Bob",Ohio,7,R
73786,"Gimenez, Carlos",Fla.,26,R
19262,"Gohmert, Louie",Texas,1,R
118337,"Golden, Jared",Maine,2,D
107932,"Gomez, Jimmy",Calif.,34,D
137503,"Gonzales, Tony",Texas,23,R
117759,"Gonzalez, Anthony",Ohio,16,R
96415,"Gonzalez, Vicente",Texas,15,D
97743,"Good, Bob",Va.,5,R
117155,"Gooden, Lance",Texas,5,R
32387,"Gosar, Paul",Ariz.,4,R
97950,"Gottheimer, Josh",N.J.,5,D
469,"Granger, Kay",Texas,12,R
55538,"Graves, Garret",La.,6,R
10812,"Graves, Sam",Mo.,6,R
18326,"Green, Al",Texas,9,D
108843,"Green, Mark E.",Tenn.,7,R
139374,"Greene, Marjorie Taylor",Ga.,14,R
32762,"Griffith, Morgan",Va.,9,R
16006,"Grijalva, Raul M.",Ariz.,3,D
54695,"Grothman, Glenn",Wis.,6,R
118023,"Guest, Michael",Miss.,3,R
28555,"Guthrie, Brett",Ky.,2,R
118129,"Harder, Josh",Calif.,10,D
27884,"Harris, Andy",Md.,1,R
141338,"Harshbarger, Diana",Tenn.,1,R
31986,"Hartzler, Vicky",Mo.,4,R
120969,"Hayes, Jahana",Conn.,5,D
118853,"Hern, Kevin",Okla.,1,R
117691,"Herrell, Yvette",N.M.,2,R
32255,"Herrera Beutler, Jaime",Wash.,3,R
31789,"Hice, Jody B.",Ga.,10,R
101469,"Higgins, Clay",La.,3,R
21847,"Higgins, Brian",N.Y.,26,D
53223,"Hill, French",Ark.,2,R
29142,"Himes, Jim",Conn.,4,D
139047,"Hinson, Ashley",Iowa,1,R
96817,"Hollingsworth, Trey",Ind.,9,R
45424,"Horsford, Steven",Nev.,4,D
117826,"Houlahan, Chrissy",Pa.,6,D
230,"Hoyer, Steny H.",Md.,5,D
44602,"Hudson, Richard",N.C.,8,R
45186,"Huffman, Jared",Calif.,2,D
31941,"Huizenga, Bill",Mich.,2,R
3088,"Issa, Darrell",Calif.,50,R
104198,"Jackson, Ronny",Texas,13,R
475,"Jackson Lee, Sheila",Texas,18,D
72926,"Jacobs, Chris",N.Y.,27,R
118227,"Jacobs, Sara",Calif.,53,D
98278,"Jayapal, Pramila",Wash.,7,D
45647,"Jeffries, Hakeem",N.Y.,8,D
101476,"Johnson, Mike",La.,4,R
487,"Johnson, Eddie Bernice",Texas,30,D
25324,"Johnson, Hank",Ga.,4,D
118562,"Johnson, Dusty",S.D.,AL,R
32942,"Johnson, Bill",Ohio,6,R
139869,"Jones, Mondaire",N.Y.,17,D
24812,"Jordan, Jim",Ohio,4,R
117856,"Joyce, John",Pa.,13,R
46495,"Joyce, David",Ohio,14,R
141408,"Kahele, Kai",Hawaii,2,D
380,"Kaptur, Marcy",Ohio,9,D
54131,"Katko, John",N.Y.,24,R
32597,"Keating, William",Mass.,9,D
127343,"Keller, Fred",Pa.,12,R
47963,"Kelly, Robin",Ill.,2,D
31250,"Kelly, Mike",Pa.,16,R
90298,"Kelly, Trent",Miss.,1,R
18143,"Khanna, Ro",Calif.,17,D
46311,"Kildee, Dan",Mich.,5,D
46051,"Kilmer, Derek",Wash.,6,D
118632,"Kim, Andy",N.J.,3,D
118189,"Kim, Young",Calif.,39,R
525,"Kind, Ron",Wis.,3,D
30892,"Kinzinger, Adam",Ill.,16,R
29303,"Kirkpatrick, Ann",Ariz.,2,D
43795,"Krishnamoorthi, Raja",Ill.,8,D
32625,"Kuster, Ann McLane",N.H.,2,D
15645,"Kustoff, David",Tenn.,8,R
93903,"LaHood, Darin",Ill.,18,R
45180,"LaMalfa, Doug",Calif.,1,R
141186,"LaTurner, Jake",Kan.,2,R
116803,"Lamb, Conor",Pa.,17,D
25491,"Lamborn, Doug",Colo.,5,R
7428,"Langevin, Jim",R.I.,2,D
7230,"Larsen, Rick",Wash.,2,D
90,"Larson, John B.",Conn.,1,D
27707,"Latta, Bob",Ohio,5,R
45981,"Lawrence, Brenda",Mich.,14,D
32339,"Lawson, Al",Fla.,5,D
98207,"Lee, Susie",Nev.,3,D
36,"Lee, Barbara",Calif.,13,D
139039,"Leger Fernandez, Teresa",N.M.,3,D
117104,"Lesko, Debbie",Ariz.,8,R
147017,"Letlow, Julia",La.,5,R
118229,"Levin, Mike",Calif.,49,D
119009,"Levin, Andy",Mich.,9,D
53696,"Lieu, Ted",Calif.,33,D
43,"Lofgren, Zoe",Calif.,19,D
32000,"Long, Billy",Mo.,7,R
53326,"Loudermilk, Barry",Ga.,11,R
45298,"Lowenthal, Alan",Calif.,47,D
398,"Lucas, Frank D.",Okla.,3,R
29071,"Luetkemeyer, Blaine",Mo.,3,R
118568,"Luria, Elaine",Va.,2,D
14170,"Lynch, Stephen F.",Mass.,8,D
53849,"Mace, Nancy",S.C.,1,R
102867,"Malinowski, Tom",N.J.,7,D
139838,"Malliotakis, Nicole",N.Y.,11,R
45662,"Maloney, Sean Patrick",N.Y.,18,D
352,"Maloney, Carolyn B.",N.Y.,12,D
31909,"Mann, Tracey",Kan.,1,R
117984,"Manning, Kathy",N.C.,6,D
44736,"Massie, Thomas",Ky.,4,R
98482,"Mast, Brian",Fla.,18,R
24342,"Matsui, Doris",Calif.,6,D
118075,"McBath, Lucy",Ga.,6,D
25162,"McCarthy, Kevin",Calif.,23,R
19182,"McCaul, Michael",Texas,10,R
139006,"McClain, Lisa",Mich.,10,R
7240,"McClintock, Tom",Calif.,4,R
8151,"McCollum, Betty",Minn.,4,D
98504,"McEachin, A. Donald",Va.,4,D
216,"McGovern, Jim",Mass.,2,D
20358,"McHenry, Patrick T.",N.C.,10,R
2124,"McKinley, David B.",W.Va.,1,R
18645,"McNerney, Jerry",Calif.,9,D
344,"Meeks, Gregory W.",N.Y.,5,D
138988,"Meijer, Peter",Mich.,3,R
45639,"Meng, Grace",N.Y.,6,D
28297,"Meuser, Dan",Pa.,9,R
787,"Mfume, Kweisi",Md.,7,D
137885,"Miller, Mary",Ill.,15,R
117557,"Miller, Carol",W.Va.,3,R
28726,"Miller-Meeks, Mariannette",Iowa,2,R
54462,"Moolenaar, John",Mich.,4,R
53103,"Mooney, Alex X.",W.Va.,2,R
21463,"Moore, Gwen",Wis.,4,D
88819,"Moore, Barry",Ala.,2,R
140211,"Moore, Blake D.",Utah,1,R
118943,"Morelle, Joseph D.",N.Y.,25,D
55069,"Moulton, Seth",Mass.,6,D
89168,"Mrvan, Frank J.",Ind.,1,D
45455,"Mullin, Markwayne",Okla.,2,R
101562,"Murphy, Stephanie",Fla.,7,D
126530,"Murphy, Greg",N.C.,3,R
346,"Nadler, Jerrold",N.Y.,10,D
61,"Napolitano, Grace F.",Calif.,32,D
215,"Neal, Richard E.",Mass.,1,D
118513,"Neguse, Joe",Colo.,2,D
137519,"Nehls, Troy",Texas,22,R
54511,"Newhouse, Dan",Wash.,4,R
117306,"Newman, Marie",Ill.,3,D
53593,"Norcross, Donald",N.J.,1,D
26236,"Norman, Ralph",S.C.,5,R
98306,"O'Halleran, Tom",Ariz.,1,D
137778,"Obernolte, Jay",Calif.,8,R
118914,"Ocasio-Cortez, Alexandria",N.Y.,14,D
120397,"Omar, Ilhan",Minn.,5,D
